matter_class,eos_id,family_group_id,parameter_block_id,model_superfamily_id,exact_formula_primary_verified,underlying_primary_citation_available,audit_amplitude,audit_epsilon0_mev_fm3,audit_sigma_mev_fm3,amplitude_lower_open,amplitude_upper_closed,maximum_gaussian_weight_on_eos_grid,energy_nearest_gaussian_center_mev_fm3,controlled_a_grid_causally_admissible,build_ok,physical_trace_ok,stable_sequence_points,minimum_mass_msun,maximum_mass_msun,radius_1p4_km,lambda_1p4,radius_at_mmax_km,minimum_cs2,maximum_cs2,p_max_causal_mev_fm3,surface_energy_density_mev_fm3,surface_energy_per_baryon_mev,passes_low_mass_trace,covers_ml_mass_grid_1_to_2,passes_two_solar_mass_screen,passes_project_mmax_screen,passes_common_r14_screen,passes_project_upper_mass_screen,pilot_eligible_2p0,pilot_eligible_strict,recommended_for_pilot_2p0,recommended_for_pilot_strict,published_mmax_msun,published_r_at_mmax_km,mmax_minus_published_msun,r_at_mmax_minus_published_km,published_cfl_crosscheck_within_3pct,rejection_reasons,recommendation_reasons,audit_error
quark,CFL12,Q_CFL12,Q_CFL_B100,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-5.324266948488777,8.571295283660163,0.0719654220026008,334.7076615855913,True,True,True,92,0.051670335604899226,1.7675895828082082,9.570169108275687,181.09277290531975,9.361770247259672,0.3422258738549166,0.38316311780249446,2500.000003982897,334.7076615855913,861.8194425915476,True,False,False,False,True,True,False,False,False,False,1.754,9.29,0.013589582808208212,0.07177024725967307,True,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,
quark,CFL13,Q_CFL13,Q_CFL_B100,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-28.42001074325868,51.91264924149169,0.01244823712036712,368.09078740513957,True,True,True,95,0.05049362152922381,1.6288065017982123,9.100926295342742,119.84934310394935,8.769670443133371,0.33716868515534876,0.353779032695465,2500.000001621532,368.09078740513957,910.8653701677889,True,False,False,False,False,True,False,False,False,False,1.616,8.7,0.012806501798212189,0.06967044313337212,True,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,
quark,CFL14,Q_CFL14,Q_CFL_B100,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-1.0390991500409572,1.2293074854785377,0.44083806859918956,283.99522100718195,True,True,True,87,0.05148078882923145,2.070453760186425,10.359827693911914,335.27151357879427,10.575677618395652,0.3539642684551559,0.4580744623871151,2500.0000093848466,283.99522100718195,765.8290873762039,True,True,True,False,True,True,True,False,True,False,2.055,10.49,0.015453760186424859,0.08567761839565158,True,Mmax below project screen 2.08 Msun,Mmax below project screen 2.08 Msun,
quark,CFL15,Q_CFL15,Q_CFL_B100,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-1.7031340743399075,2.322429872447565,0.24841239965844578,303.44654013375856,True,True,True,89,0.053190180087058565,1.9365293655330842,10.04200405001885,264.4052547549117,10.048607524186703,0.348597474322832,0.4230796223468422,2500.0000070239025,303.44654013375856,806.7652912631975,True,False,False,False,True,True,False,False,False,False,1.922,9.98,0.01452936553308426,0.06860752418670302,True,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,
quark,CFL16,Q_CFL16,Q_CFL_B120,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-420.11993349855254,690.1363689571223,0.0009006929280997469,407.24777930279413,True,True,True,97,0.05756016278918571,1.5939055580303298,8.787160275645652,92.1668225760283,8.470945969795526,0.3421910169262847,0.37839905305588223,2500.0000029964885,407.24777930279413,909.7211741288672,True,False,False,False,False,True,False,False,False,False,1.582,8.4,0.011905558030329777,0.0709459697955257,True,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,
quark,CFL17,Q_CFL17,Q_CFL_B120,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-11.98112684858876,14.900213364437262,0.03720052616704821,348.28547021248306,True,True,True,93,0.05658511118857632,1.8480321864230729,9.560349244243174,185.87086998308803,9.48840714209637,0.3538811468048318,0.44570422284165007,2500.0000071427517,348.28547021248306,816.0387086044718,True,False,False,False,True,True,False,False,False,False,1.834,9.42,0.014032186423072801,0.06840714209637078,True,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,
quark,CFL18,Q_CFL18,Q_CFL_B120,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-40.19169006258358,56.83523420269085,0.010306417600809142,371.24464469416966,True,True,True,95,0.0500083613137789,1.7351246069289112,9.251575153392846,142.44084543111913,9.054064801212002,0.34853670209202064,0.4142323418672773,2500.00000530338,371.24464469416966,856.2263936864093,True,False,False,False,False,True,False,False,False,False,1.722,8.98,0.013124606928911264,0.07406480121200154,True,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,
quark,CFL19,Q_CFL19,Q_CFL_B140,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-789.5282810311044,1020.4510738225297,0.0005524924896620526,413.6629897274723,True,True,True,98,0.05624099123605623,1.6802855991844476,8.897808389009906,106.3402313850703,8.671567564631076,0.3537990027492946,0.43620844564547556,2500.0000056535064,413.6629897274723,860.1436865698461,True,False,False,False,False,True,False,False,False,False,1.667,8.6,0.013285599184447605,0.07156756463107605,True,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun; R1.4 outside common 9.5-14.5 km screen,
quark,CFL2,Q_CFL2,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-0.44194371936146604,0.9545840827705924,0.7160616483777228,260.86496143652727,True,True,True,84,0.050777647239659475,1.8436924410916464,10.370734181798541,314.3115400597861,10.158807657441455,0.3164589481761531,0.33062586169438984,2499.999997881075,260.86496143652727,871.5031444058886,True,False,False,False,True,True,False,False,False,False,1.83,10.09,0.013692441091646357,0.06880765744145556,True,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,
quark,CFL3,Q_CFL3,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-0.39349738509461707,0.6063215623854276,0.9999994538926538,219.94774545496526,True,True,True,74,0.05645074182390903,2.374785362047826,11.86777431483942,837.9604552449351,12.4722749385383,0.34229682924834093,0.39958536215203516,2500.0000088130996,192.19943964314527,737.3975153902446,True,True,True,True,True,True,True,True,True,True,2.357,12.38,0.01778536204782588,0.09227493853829927,True,,,
quark,CFL4,Q_CFL4,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-0.3597696647777177,0.6402079878803378,0.9999991351305203,220.0657597845852,True,True,True,78,0.05297887442830975,2.1431319808133047,11.289762280960563,587.9801709764262,11.496164766425258,0.33719886993837217,0.36013584075473565,2500.0000035695366,215.8982058576553,791.6274292444332,True,True,True,True,True,True,True,True,True,True,2.127,11.41,0.016131980813304914,0.08616476642525761,True,,,
quark,CFL5,Q_CFL5,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-0.4663357598034389,0.5328658832189513,0.9999916948868838,220.20377864956694,True,True,True,69,0.0583170555395261,2.863328669479209,12.813411038088542,1420.9663029911956,14.34892277591243,0.3541335226449837,0.5001246405207707,2500.0000196395704,159.9734210649433,636.0789781878208,True,True,True,True,True,True,True,True,True,True,2.842,14.24,0.021328669479208973,0.10892277591242916,True,,,
quark,CFL6,Q_CFL6,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-0.4340211757751493,0.5655025848548002,0.9999865479393474,220.25934678648906,True,True,True,71,0.05076894706329128,2.6513806031013027,12.442687550705514,1162.7006782469111,13.57709610942809,0.34872120457046113,0.45354851767272203,2500.000015218938,171.72515184168088,678.412211662762,True,True,True,True,True,True,True,True,True,True,2.631,13.46,0.020380603101302963,0.11709610942808979,True,,,
quark,CFL7,Q_CFL7,Q_CFL_B080,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-0.5634087161584801,0.8822215727568046,0.6917397952074875,262.92699689958727,True,True,True,84,0.05044282894780555,2.008880773125914,10.54002260926306,368.75528987467504,10.614768991259117,0.34226114192306817,0.3897322299335805,2500.0000056382205,262.92699689958727,805.7504163703308,True,True,True,False,True,True,True,False,True,False,1.994,10.52,0.01488077312591396,0.09476899125911764,True,Mmax below project screen 2.08 Msun,Mmax below project screen 2.08 Msun,
quark,CFL8,Q_CFL8,Q_CFL_B080,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-0.9977320442474423,1.8022439068724905,0.3571459246283957,291.74994175114483,True,True,True,87,0.05690583126814656,1.8352151171101432,10.039132309303305,254.54841081420088,9.865788750529083,0.3371836891500791,0.35633593347413217,2500.000002288759,291.74994175114483,857.0493328510363,True,False,False,False,True,True,False,False,False,False,1.821,9.79,0.014215117110143227,0.07578875052908352,True,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,does not cover common 1.0-2.0 Msun grid; Mmax below project screen 2.08 Msun,
quark,CFL9,Q_CFL9,Q_CFL_B080,Q_ANALYTIC_CFL_MIT_BAG,True,True,0.0,220.0,50.0,-0.4749565691582148,0.5250846418175829,0.9997675075379375,221.07823812913617,True,True,True,80,0.05109595513673884,2.3830926525286955,11.386214879037437,648.3918497537152,12.065870972838118,0.3540483870913918,0.47503743640358453,2500.0000130272924,221.07823812913617,707.1960697732161,True,True,True,True,True,True,True,True,True,True,2.365,11.98,0.018092652528695297,0.08587097283811751,True,,,
