matter_class,eos_id,family_group_id,amplitude,build_ok,physical_trace_ok,minimum_mass_msun,maximum_mass_msun,radius_1p4_km,covers_ml_mass_grid_1_to_2,passes_mmax_floor,passes_mmax_ceiling,passes_r14_screen,acceptable,reason
hadronic,SkI4,H_SKYRME,-0.05,True,True,0.0883427165403908,2.228444052649122,12.931720873073903,True,True,True,True,True,
hadronic,SkI4,H_SKYRME,-0.02,True,True,0.0883356532218835,2.256453928604228,13.429535826944392,True,True,True,True,True,
hadronic,SkI4,H_SKYRME,0.0,True,True,0.0883390727502204,2.276156909431579,13.74849425213303,True,True,True,True,True,
hadronic,SkI4,H_SKYRME,0.01,True,True,0.0883427990973337,2.286238474501596,13.90194454965444,True,True,True,True,True,
hadronic,SkI4,H_SKYRME,0.02,True,True,0.0883475594245991,2.296470123743628,14.04611243364011,True,True,True,True,True,
hadronic,SkI4,H_SKYRME,0.03,True,True,0.0883537415930447,2.3072314208783298,14.182529998674518,True,True,True,True,True,
hadronic,SkI4,H_SKYRME,0.04,True,True,0.0883616723079559,2.319040129580048,14.312710479285908,True,True,True,True,True,
hadronic,SkI4,H_SKYRME,0.05,True,True,0.0883700011887463,2.331003483512338,14.427390073148324,True,True,True,True,True,
hadronic,SkI4,H_SKYRME,0.09,True,True,0.0884166146565661,2.381014956358312,14.809151015386156,True,True,True,False,False,R1.4 screen
hadronic,Ska,H_SKYRME,-0.05,True,True,0.0903084039562697,2.1936958106616253,12.596609659341397,True,True,True,True,True,
hadronic,Ska,H_SKYRME,-0.02,True,True,0.0904606688997894,2.218412577550584,13.108017816023226,True,True,True,True,True,
hadronic,Ska,H_SKYRME,0.0,True,True,0.0905635222080422,2.2369252283839143,13.450847552349725,True,True,True,True,True,
hadronic,Ska,H_SKYRME,0.01,True,True,0.0906154479789522,2.2468422998511173,13.617420006255315,True,True,True,True,True,
hadronic,Ska,H_SKYRME,0.02,True,True,0.090667612460344,2.256922345013769,13.784213449227297,True,True,True,True,True,
hadronic,Ska,H_SKYRME,0.03,True,True,0.0907201544429363,2.267162912540113,13.936998400007296,True,True,True,True,True,
hadronic,Ska,H_SKYRME,0.04,True,True,0.0907728043919467,2.277561488761335,14.083927406340104,True,True,True,True,True,
